,date,province,confirmed,released,deceased,population,infection_rate,recovery_rate,dead_rate,total_medical,sizeofarea
0,2020-01-20,Seoul,0,0,0,9733509.0,0.0,0.0,0.0,424.48796336676844,16088.444628099174
1,2020-01-20,Busan,0,0,0,3411819.0,0.0,0.0,0.0,502.25511556013544,4430.933766233767
2,2020-01-20,Daegu,0,0,0,2436488.0,0.0,0.0,0.0,477.08791854317604,2756.20814479638
3,2020-01-20,Incheon,1,0,0,2956119.0,3.382813750055394e-05,0.0,0.0,655.7495563442768,2780.920978363123
4,2020-01-20,Gwangju,0,0,0,1456688.0,0.0,0.0,0.0,508.9755415793152,2907.560878243513
5,2020-01-20,Daejeon,0,0,0,1474152.0,0.0,0.0,0.0,486.84015852047554,2729.911111111111
6,2020-01-20,Ulsan,0,0,0,1147037.0,0.0,0.0,0.0,633.3721700717836,1080.072504708098
7,2020-01-20,Sejong,0,0,0,342328.0,0.0,0.0,0.0,671.2313725490196,736.189247311828
8,2020-01-20,Gyeonggi-do,0,0,0,13250368.0,0.0,0.0,0.0,639.2805519370869,1300.5857872006281
9,2020-01-20,Gangwon-do,0,0,0,1540540.0,0.0,0.0,0.0,605.320235756385,91.54623246969336
10,2020-01-20,Chungcheongbuk-do,0,0,0,1599391.0,0.0,0.0,0.0,576.5648882480173,215.90051295896328
11,2020-01-20,Chungcheongnam-do,0,0,0,2122455.0,0.0,0.0,0.0,578.7987455685846,257.9238060517681
12,2020-01-20,Jeollabuk-do,0,0,0,1817302.0,0.0,0.0,0.0,481.02223398623613,225.22022555459165
13,2020-01-20,Jeollanam-do,0,0,0,1864712.0,0.0,0.0,0.0,549.9003243880861,151.06221646143877
14,2020-01-20,Gyeongsangbuk-do,0,0,0,2662508.0,0.0,0.0,0.0,594.9738547486033,139.88903483423528
15,2020-01-20,Gyeongsangnam-do,0,0,0,3361344.0,0.0,0.0,0.0,622.2406516105146,318.91309297912716
16,2020-01-20,Jeju-do,0,0,0,670749.0,0.0,0.0,0.0,537.0288230584467,362.56702702702705
17,2020-01-21,Seoul,0,0,0,9733509.0,0.0,0.0,0.0,424.48796336676844,16088.444628099174
18,2020-01-21,Busan,0,0,0,3411819.0,0.0,0.0,0.0,502.25511556013544,4430.933766233767
19,2020-01-21,Daegu,0,0,0,2436488.0,0.0,0.0,0.0,477.08791854317604,2756.20814479638
20,2020-01-21,Incheon,1,0,0,2956119.0,3.382813750055394e-05,0.0,0.0,655.7495563442768,2780.920978363123
