,province,confirmed_date,recovery_date,total_medical,sizeofarea
0,Seoul,1,13,424.48796336676844,16088.444628099174
1,Seoul,4,16,424.48796336676844,16088.444628099174
2,Seoul,10,25,424.638552115133,16094.152066115703
3,Seoul,1,18,424.638552115133,16094.152066115703
4,Seoul,15,14,424.638552115133,16094.152066115703
5,Seoul,6,24,424.638552115133,16094.152066115703
6,Seoul,2,19,424.638552115133,16094.152066115703
7,Seoul,2,15,424.638552115133,16094.152066115703
8,Seoul,3,4,424.638552115133,16094.152066115703
9,Seoul,3,20,424.638552115133,16094.152066115703
10,Seoul,5,21,424.638552115133,16094.152066115703
11,Seoul,1,16,424.638552115133,16094.152066115703
12,Seoul,2,20,424.638552115133,16094.152066115703
13,Gwangju,7,17,508.777428371768,2906.429141716567
14,Gwangju,6,25,508.6320754716981,2905.5988023952095
15,Gwangju,7,11,508.6320754716981,2905.5988023952095
16,Gwangju,1,27,508.6320754716981,2905.5988023952095
17,Incheon,1,17,655.7495563442768,2780.920978363123
18,Incheon,25,7,655.4913487133985,2779.8259642521166
19,Incheon,1,72,655.4913487133985,2779.8259642521166
20,Incheon,-1,41,654.9886867790594,2777.6942615239886
21,Incheon,2,23,654.9886867790594,2777.6942615239886
22,Incheon,5,26,654.9886867790594,2777.6942615239886
23,Daejeon,8,32,486.08256274768826,2725.662962962963
24,Daejeon,10,35,486.08256274768826,2725.662962962963
25,Daejeon,11,18,486.08256274768826,2725.662962962963
26,Daejeon,2,38,486.08256274768826,2725.662962962963
27,Daejeon,15,12,486.08256274768826,2725.662962962963
28,Daejeon,2,31,486.08256274768826,2725.662962962963
29,Daejeon,13,12,486.08256274768826,2725.662962962963
30,Daejeon,11,30,486.08256274768826,2725.662962962963
31,Daejeon,2,40,486.08256274768826,2725.662962962963
32,Ulsan,5,18,632.63942573164,1078.8229755178909
33,Ulsan,2,41,632.63942573164,1078.8229755178909
34,Ulsan,8,13,632.63942573164,1078.8229755178909
35,Sejong,47,14,658.8091603053435,742.4
36,Sejong,9,27,676.0627450980393,741.4881720430108
37,Sejong,15,17,676.0627450980393,741.4881720430108
38,Sejong,7,20,676.0627450980393,741.4881720430108
39,Sejong,45,11,658.8091603053435,742.4
40,Sejong,4,16,676.0627450980393,741.4881720430108
41,Sejong,6,10,676.0627450980393,741.4881720430108
42,Sejong,33,21,658.8091603053435,742.4
43,Sejong,1,45,676.0627450980393,741.4881720430108
44,Sejong,3,42,676.0627450980393,741.4881720430108
45,Sejong,4,40,676.0627450980393,741.4881720430108
46,Sejong,7,22,676.0627450980393,741.4881720430108
47,Sejong,45,9,658.8091603053435,742.4
48,Sejong,5,29,676.0627450980393,741.4881720430108
49,Sejong,2,42,676.0627450980393,741.4881720430108
50,Sejong,0,38,676.0627450980393,741.4881720430108
51,Sejong,5,40,676.0627450980393,741.4881720430108
52,Sejong,42,9,658.8091603053435,742.4
53,Sejong,41,8,658.8091603053435,742.4
54,Sejong,7,30,676.0627450980393,741.4881720430108
55,Sejong,5,28,676.0627450980393,741.4881720430108
56,Sejong,0,35,676.0627450980393,741.4881720430108
57,Sejong,3,37,676.0627450980393,741.4881720430108
