accDefRate,accExamCnt,accExamCompCnt,careCnt,clearCnt,createDt,deathCnt,decideCnt,examCnt,resutlNegCnt,seq,stateDt,stateTime,updateDt
1.3506805825,7829601,7754313,6800,96196,2021-04-03 09:34:03.806,1740,104736,75288,7649577,469,20210403,00:00,null
1.3500799412,7788295,7717543,6595,95861,2021-04-02 09:54:00.108,1737,104193,70752,7613350,468,20210402,00:00,2021-04-03 10:07:46.762
1.3496659109,7747300,7678641,6462,95439,2021-04-01 09:32:19.52,1735,103636,68659,7575005,467,20210401,00:00,2021-04-02 09:54:46.932
1.3498993975,7707797,7636495,6324,95030,2021-03-31 09:32:59.933,1731,103085,71302,7533410,466,20210331,00:00,2021-04-02 14:07:14.967
1.3522909017,7663996,7585572,6287,94563,2021-03-30 09:39:54.626,1729,102579,78424,7482993,465,20210330,00:00,2021-04-02 14:07:33.617
1.3550059277,7616322,7537384,6282,94124,2021-03-29 09:41:57.983,1726,102132,78938,7435252,463,20210329,00:00,2021-04-02 14:08:02.685
1.3536013911,7595589,7516984,6173,93855,2021-03-28 11:17:23.373,1722,101750,78605,7415234,462,20210328,00:00,2021-04-02 14:08:27.366
1.3507105875,7572561,7497387,6072,93475,2021-03-27 09:53:35.032,1721,101268,75174,7396119,461,20210327,00:00,2021-04-02 14:08:44.201
1.3521628526,7529396,7451987,6417,92630,2021-03-26 09:33:28.3,1716,100763,77409,7351224,460,20210326,00:00,2021-04-02 14:09:07.655
1.3552469409,7485856,7398873,6496,92068,2021-03-25 09:34:48.91,1709,100273,86983,7298600,459,20210325,00:00,2021-04-02 14:09:35.429
1.3589848535,7441207,7346881,6576,91560,2021-03-24 09:35:12.391,1707,99843,94326,7247038,458,20210324,00:00,2021-04-02 14:09:52.013
1.3616978494,7400984,7300812,6632,91079,2021-03-23 09:32:10.986,1704,99415,100172,7201397,457,20210323,00:00,2021-04-02 14:10:20.192
1.3659365328,7355958,7252826,6761,90611,2021-03-22 10:04:58.004,1697,99069,103132,7153757,456,20210322,00:00,2021-04-02 14:10:57.623
1.3636800312,7332703,7234395,6630,90328,2021-03-21 09:53:34.815,1696,98654,98308,7135741,455,20210321,00:00,2021-04-02 14:56:41.485
1.3608519272,7308939,7215921,6556,89949,2021-03-20 09:31:53.146,1693,98198,93018,7117723,454,20210320,00:00,2021-04-02 14:57:45.562
1.3620806750,7264935,7176594,6538,89523,2021-03-19 09:32:03.884,1690,97751,88341,7078843,453,20210319,00:00,2021-04-02 14:58:18.842
1.3648021936,7218081,7128359,6422,89178,2021-03-18 09:38:40.962,1688,97288,89722,7031071,452,20210318,00:00,2021-04-02 15:00:14.677
1.3662870507,7171504,7088042,6343,88814,2021-03-17 09:31:37.789,1686,96843,83462,6991199,451,20210317,00:00,2021-04-02 15:02:17.864
1.3673897673,7126071,7048027,6441,88255,2021-03-16 09:36:13.502,1678,96374,78044,6951653,450,20210316,00:00,2021-04-02 15:03:53.521
1.3689760547,7084934,7013344,6582,87754,2021-03-15 09:51:09.37,1675,96011,71590,6917333,449,20210315,00:00,2021-04-02 15:04:11.86
1.3668441111,7066398,6996555,6555,87408,2021-03-14 09:42:57.64,1669,95632,69843,6900923,448,20210314,00:00,2021-04-02 15:04:27.461
1.3637239652,7046779,6978905,6881,86625,2021-03-13 09:36:41.886,1667,95173,67874,6883732,447,20210313,00:00,2021-04-02 15:05:49.647
1.3635375853,7012661,6943923,7278,85743,2021-03-12 09:49:58.077,1662,94683,68738,6849240,446,20210312,00:00,2021-04-02 15:06:15.729
1.3634191155,6976982,6908734,7868,84675,2021-03-11 09:39:02.159,1652,94195,68248,6814539,445,20210311,00:00,2021-04-02 15:06:39.058
1.3646151917,6938881,6868603,7770,84312,2021-03-10 09:45:29.181,1648,93730,70278,6774873,444,20210310,00:00,2021-04-02 15:07:00.755
1.3649509402,6902981,6832480,7715,83900,2021-03-09 09:52:46.909,1645,93260,70501,6739220,443,20210309,00:00,2021-04-02 15:16:55.805
1.3660343234,6861806,6794412,7698,83474,2021-03-08 09:31:46.646,1642,92814,67394,6701598,442,20210308,00:00,2021-04-02 15:17:56.843
1.3644935084,6843123,6776727,7614,83220,2021-03-07 09:52:34.246,1634,92468,66396,6684259,441,20210307,00:00,2021-04-02 15:18:17.499
1.3623671313,6821940,6756769,7507,82913,2021-03-06 09:40:17.621,1632,92052,65171,6664717,440,20210306,00:00,2021-04-02 15:18:54.233
1.3625263761,6789008,6725301,7447,82560,2021-03-05 09:41:54.92,1627,91634,63707,6633667,439,20210305,00:00,2021-04-02 15:19:13.58
1.3633983521,6751897,6691808,7455,82162,2021-03-04 09:33:23.999,1619,91236,60089,6600572,438,20210304,00:00,2021-04-02 15:19:30.933
1.3655256060,6716200,6650333,7500,81700,2021-03-03 09:33:02.813,1612,90812,65867,6559521,437,20210303,00:00,2021-04-02 15:19:51.185
1.3674425262,6681973,6608541,7424,81338,2021-03-02 09:32:41.95,1606,90368,73432,6518173,436,20210302,00:00,2021-04-02 15:20:19.939
1.3656540967,6665751,6592006,7349,81070,2021-03-01 09:48:21.402,1605,90024,73745,6501982,435,20210301,00:00,2021-04-02 15:20:39.963
1.3635566674,6649000,6576111,7369,80697,2021-02-28 10:24:54.713,1603,89669,72889,6486442,434,20210228,00:00,2021-04-02 15:20:58.986
1.3618630171,6627211,6558222,7386,80333,2021-02-27 09:37:27.179,1595,89314,68989,6468908,433,20210227,00:00,2021-04-02 15:21:31.797
1.3632507624,6590046,6521104,7434,79880,2021-02-26 09:32:51.735,1585,88899,68942,6432205,431,20210226,00:00,2021-04-02 15:21:52.914
1.3653911477,6551210,6482538,7444,79487,2021-02-25 09:31:53.266,1581,88512,68672,6394026,430,20210225,00:00,2021-04-02 15:24:23.048
1.3691274250,6510985,6435997,7491,79050,2021-02-24 09:33:42.127,1576,88117,74988,6347880,429,20210224,00:00,2021-04-02 15:26:04.821
1.3702507263,6472675,6398610,7710,78394,2021-02-23 09:31:45.903,1573,87677,74065,6310933,428,20210223,00:00,2021-04-02 15:26:22.007
1.3736887809,6429141,6356680,7872,77887,2021-02-22 09:30:56.472,1562,87321,72461,6269359,427,20210222,00:00,2021-04-02 15:26:38.566
1.3725033255,6411337,6337981,7916,77516,2021-02-21 09:34:28.285,1557,86989,73356,6250992,426,20210221,00:00,2021-04-02 15:27:02.661
1.3710210371,6390628,6314491,7937,77083,2021-02-20 09:40:36.883,1553,86573,76137,6227918,425,20210220,00:00,2021-04-02 15:27:18.287
1.3725377390,6345989,6274873,8062,76513,2021-02-19 09:33:30.84,1550,86125,71116,6188748,423,20210219,00:00,2021-04-02 15:27:37.126
1.3728700129,6303211,6232491,8124,75896,2021-02-18 09:31:33.593,1544,85564,70720,6146927,422,20210218,00:00,2021-04-02 15:27:56.548
1.3726710744,6260564,6188154,8045,75360,2021-02-17 09:36:02.951,1538,84943,72410,6103211,421,20210217,00:00,2021-04-02 15:28:05.099
1.3740856078,6213487,6136590,8237,74551,2021-02-16 09:31:34.953,1534,84322,76897,6052268,420,20210216,00:00,2021-04-02 15:31:46.932
1.3787440137,6162856,6082710,8544,73794,2021-02-15 09:32:45.168,1527,83865,80146,5998845,419,20210215,00:00,2021-04-02 15:34:17.644
1.3778226996,6140083,6061883,8441,73559,2021-02-14 09:31:30.401,1522,83522,78200,5978361,418,20210214,00:00,2021-04-02 15:34:31.458
1.3762590191,6115334,6045083,8455,73227,2021-02-13 10:09:06.162,1514,83196,70251,5961887,417,20210213,00:00,2021-04-02 15:33:34.02
1.3776461113,6093363,6012502,8388,72936,2021-02-12 09:31:24.356,1507,82831,80861,5929671,416,20210212,00:00,2021-04-02 16:13:22.217
1.3765133238,6070005,5988391,8297,72638,2021-02-11 09:31:14.234,1496,82431,81614,5905960,415,20210211,00:00,2021-04-02 16:14:26.296
1.3769373291,6030020,5949944,8215,72226,2021-02-10 09:33:33.861,1486,81927,80076,5868017,414,20210210,00:00,2021-04-02 16:13:45.208
1.3799516729,5987402,5904772,8325,71676,2021-02-09 09:31:54.66,1482,81483,82630,5823289,413,20210209,00:00,2021-04-02 16:17:45.68
1.3868983380,5938192,5853349,8488,71218,2021-02-08 09:33:37.055,1474,81180,84843,5772169,412,20210208,00:00,2021-04-02 16:18:02.767
1.3884130705,5916971,5826220,8556,70865,2021-02-07 09:36:08.21,1471,80892,90751,5745328,411,20210207,00:00,2021-04-02 16:18:15.228
1.3893295912,5893350,5795673,8552,70505,2021-02-06 09:32:30.765,1464,80521,97677,5715152,410,20210206,00:00,2021-04-02 16:18:27.521
1.3960267734,5847175,5739718,8552,70117,2021-02-05 09:33:36.664,1459,80128,107457,5659590,409,20210205,00:00,2021-04-02 16:18:49.488
1.4035592804,5803091,5682553,8606,69704,2021-02-04 09:37:28.112,1448,79758,120538,5602795,408,20210204,00:00,2021-04-02 16:19:15.45
1.4116938813,5756710,5617861,8567,69299,2021-02-03 09:31:25.637,1441,79307,138849,5538554,407,20210203,00:00,2021-04-02 16:19:28.647
1.4187143611,5711409,5557144,8630,68775,2021-02-02 09:36:54.134,1435,78840,154265,5478304,405,20210202,00:00,2021-04-02 16:19:48.005
1.4241393285,5661838,5512382,8770,68309,2021-02-01 10:15:01.974,1425,78504,149456,5433878,404,20210201,00:00,2021-04-02 16:20:26.913
1.4240619281,5640814,5491264,8901,67878,2021-01-31 09:32:09.004,1420,78199,149550,5413065,403,20210131,00:00,2021-04-02 16:20:56.034
1.4229362443,5616525,5470730,9310,67121,2021-01-30 09:30:22.952,1414,77845,145795,5392885,402,20210130,00:00,2021-04-02 16:21:17.018
1.4261297096,5569258,5426505,9487,66503,2021-01-29 09:37:53.565,1399,77389,142753,5349116,401,20210129,00:00,2021-04-02 16:22:26.579
1.4290069460,5522183,5382759,9518,66016,2021-01-28 09:38:09.595,1386,76920,139424,5305839,400,20210128,00:00,2021-04-02 16:22:46.722
1.4336084507,5469241,5330814,9567,65478,2021-01-27 09:45:38.773,1378,76423,138427,5254391,399,20210127,00:00,2021-04-02 16:23:51.05
1.4356930118,5422762,5284138,9700,64793,2021-01-26 09:41:15.083,1371,75864,138624,5208274,398,20210126,00:00,2021-04-02 16:24:40.397
