createDt,deathCnt,defCnt,gubun,gubunCn,gubunEn,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
2021-04-03 10:04:56.316,4,3180,검역,隔離區,Lazaretto,9,2891,285,0,9,-,8671,2021년 04월 03일 00시,null
2021-04-03 10:04:56.316,1,632,제주,济州,Jeju,1,614,17,1,0,8.95,8670,2021년 04월 03일 00시,null
2021-04-03 10:04:56.316,16,3027,경남,庆南,Gyeongsangnam-do,28,2741,270,28,0,10.20,8669,2021년 04월 03일 00시,null
2021-04-03 10:04:56.316,76,3558,경북,庆北,Gyeongsangbuk-do,17,3325,157,16,1,59.76,8668,2021년 04월 03일 00시,null
2021-04-03 10:04:56.316,8,916,전남,全南,Jeollanam-do,1,884,24,1,0,10.19,8667,2021년 04월 03일 00시,null
2021-04-03 10:04:56.315,57,1508,전북,全北,Jeollabuk-do,20,1305,146,20,0,9.19,8666,2021년 04월 03일 00시,null
2021-04-03 10:04:56.315,35,2666,충남,忠南,Chungcheongnam-do,10,2540,91,7,3,29.92,8665,2021년 04월 03일 00시,null
2021-04-03 10:04:56.315,61,2240,충북,忠北,Chungcheongbuk-do,11,1949,230,11,0,12.19,8664,2021년 04월 03일 00시,null
2021-04-03 10:04:56.315,47,2377,강원,江原,Gangwon-do,17,2103,227,16,1,19.21,8663,2021년 04월 03일 00시,null
2021-04-03 10:04:56.315,539,29019,경기,京畿,Gyeonggi-do,147,26455,2025,143,4,42.62,8662,2021년 04월 03일 00시,null
2021-04-03 10:04:56.315,1,301,세종,世宗,Sejong,10,248,52,10,0,23.95,8661,2021년 04월 03일 00시,null
2021-04-03 10:04:56.315,37,1169,울산,蔚山,Ulsan,3,1043,89,3,0,14.38,8660,2021년 04월 03일 00시,null
2021-04-03 10:04:56.314,16,1334,대전,大田,Daejeon,19,1213,105,19,0,30.12,8659,2021년 04월 03일 00시,null
2021-04-03 10:04:56.314,21,2216,광주,光州,Gwangju,3,2166,29,2,1,35.42,8658,2021년 04월 03일 00시,null
2021-04-03 10:04:56.314,57,5122,인천,仁川,Incheon,21,4799,266,19,2,35.93,8657,2021년 04월 03일 00시,null
2021-04-03 10:04:56.314,218,8961,대구,大邱,Daegu,10,8586,157,10,0,294.85,8656,2021년 04월 03일 00시,null
2021-04-03 10:04:56.314,119,3959,부산,釜山,Busan,61,3358,482,61,0,17.59,8655,2021년 04월 03일 00시,null
2021-04-03 10:04:56.314,427,32551,서울,首尔,Seoul,155,29976,2148,154,1,64.44,8654,2021년 04월 03일 00시,null
2021-04-03 10:04:56.313,1740,104736,합계,合计,Total,543,96196,6800,521,22,52.62,8653,2021년 04월 03일 00시,null
2021-04-02 10:02:16.153,4,3171,검역,隔離區,Lazaretto,11,2891,276,0,11,-,8652,2021년 04월 02일 18시,null
2021-04-02 10:02:16.153,1,631,제주,济州,Jeju,4,614,16,4,0,89.75,8651,2021년 04월 02일 17시,null
2021-04-02 10:02:16.153,16,2999,경남,庆南,Gyeongsangnam-do,18,2708,275,18,0,66.52,8650,2021년 04월 02일 16시,null
2021-04-02 10:02:16.153,75,3541,경북,庆北,Gyeongsangbuk-do,30,3311,155,28,2,125.37,8649,2021년 04월 02일 15시,null
2021-04-02 10:02:16.153,8,915,전남,全南,Jeollanam-do,1,883,24,1,0,48.05,8648,2021년 04월 02일 14시,null
2021-04-02 10:02:16.152,57,1488,전북,全北,Jeollabuk-do,15,1299,132,15,0,69.22,8647,2021년 04월 02일 13시,null
2021-04-02 10:02:16.152,35,2656,충남,忠南,Chungcheongnam-do,10,2533,88,8,2,118.78,8646,2021년 04월 02일 12시,null
