,province,etc,contact with patient,overseas,medical,nonmedical,GuroCallCenter,Shincheonji,church,None
0,Seoul,99,171,306,14,454,95,3,85,85
1,Busan,23,45,40,1,3,0,6,32,1
2,Daegu,0,4,10,0,0,0,13,0,110
3,Incheon,8,210,60,2,39,17,2,0,5
4,Gwangju,10,17,17,0,0,0,0,0,0
5,Daejeon,40,42,16,0,20,0,1,0,0
6,Ulsan,7,15,22,0,0,0,11,0,0
7,Sejong,5,8,5,0,32,0,1,0,0
8,Gyeonggi-do,141,777,237,0,42,0,10,0,1
9,Gangwon-do,14,21,15,0,3,0,10,0,0
10,Chungcheongbuk-do,20,24,11,0,1,0,0,0,0
11,Chungcheongnam-do,21,101,16,0,29,0,0,1,0
12,Jeollabuk-do,9,4,12,0,1,0,1,0,0
13,Jeollanam-do,5,5,13,0,0,0,1,0,1
14,Gyeongsangbuk-do,263,129,23,99,0,0,25,2,713
15,Gyeongsangnam-do,34,36,24,0,6,0,23,7,3
16,Jeju-do,4,1,13,0,1,0,0,0,0
